h,t,n,h_p,i,w,C,W,V,M_y,M_Rd,M_y/M_Rd,V_z,V_Rd,V_z/V_Rd,P_z,N_Rd,P_z/N_Rd,u_z,u_z/u_zul,u_z,u_z/u_zul,f_gs0,f_gs1,f_gs2,fh_0,fh_1,fh_2,BC0,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10
1.13,0.26,6.0,1.48,0.0,2.74,138929.47,306.61,122.64,-10911.53,3685.93,2.96,1745.8,885.6,1.971,169.62,47571.6,0.004,57.8,1.074,184.7,4.006,1.696,2.099,2.551,2.381,4.652,8.078,0,0,0,0,1,0,0,0,1,0,0
2.39,0.18,7.0,0.56,3.0,3.05,131358.42,297.04,118.82,5754.46,7953.85,0.723,-1085.73,1063.07,1.021,332.82,10035.6,0.033,9.2,0.169,29.36,0.63,2.334,3.329,4.438,5.312,6.842,8.816,0,0,1,1,0,0,0,0,0,1,1
0.14,0.23,2.0,0.84,3.0,1.18,79165.99,175.97,70.39,-2739.38,332.57,8.237,447.49,273.4,1.637,298.97,17875.6,0.017,3481.3,68.335,10799.82,247.324,0.213,0.241,0.449,0.311,0.366,0.937,1,0,0,0,0,0,0,0,0,0,0
1.35,0.2,4.0,1.46,1.0,0.26,123761.94,271.21,108.49,-9355.14,4431.12,2.111,-1517.57,933.79,1.625,394.9,46395.6,0.009,33.9,0.619,95.42,2.033,1.64,2.455,3.104,2.993,6.286,8.62,0,1,0,0,1,0,0,0,0,0,0
0.51,0.19,2.0,0.56,1.0,4.89,88812.42,199.96,79.98,-6512.6,1585.84,4.107,967.78,639.45,1.513,852.97,10035.6,0.085,291.1,4.968,936.71,18.65,0.634,0.873,1.128,0.903,1.394,1.827,0,0,0,0,0,0,0,0,1,0,0
1.13,0.17,7.0,0.61,2.0,1.32,84239.56,189.97,75.99,-4905.21,3685.93,1.331,1056.57,885.6,1.193,198.8,11205.6,0.018,31.9,0.628,97.33,2.234,1.158,2.455,3.201,3.126,3.833,7.802,1,0,0,0,1,0,0,0,0,0,0
0.57,0.21,2.0,0.75,2.0,5.48,92783.93,207.56,83.02,-7402.2,1789.08,4.137,-1118.96,675.47,1.657,637.17,15013.6,0.042,218.2,4.012,603.99,12.955,0.783,1.068,1.14,1.104,1.374,2.473,0,0,0,0,1,0,0,0,0,0,0
1.15,0.13,7.0,1.32,1.0,5.88,87156.8,190.96,76.38,-4319.24,3753.68,1.151,-797.51,890.51,0.896,144.09,38611.6,0.004,19.9,0.333,46.64,0.911,1.046,2.626,2.919,3.933,4.596,6.608,0,0,0,0,0,0,0,0,1,0,0
1.34,0.17,5.0,0.71,0.0,6.37,104580.09,235.42,94.17,-9891.66,4397.25,2.25,1796.45,931.84,1.928,215.79,13845.6,0.016,65.4,1.128,213.13,4.288,1.707,2.033,3.405,2.236,3.815,7.016,0,0,0,0,1,1,0,0,1,0,0
1.23,0.12,5.0,0.51,1.0,2.84,69124.03,155.97,62.39,-3624.33,4024.65,0.901,-733.36,909.0,0.807,169.1,8965.6,0.019,22.0,0.399,55.6,1.175,1.395,2.276,3.039,3.523,3.834,5.645,0,0,0,0,0,0,0,0,1,0,0
1.61,0.14,5.0,0.89,3.0,0.22,93561.24,208.95,83.58,-8412.47,5311.8,1.584,1539.3,977.92,1.574,164.8,19605.6,0.008,37.900000000000000,0.672,123.71,2.56,2.214,2.509,3.784,2.919,4.424,9.771,0,0,0,0,1,0,0,0,1,0,0
1.01,0.26,4.0,1.1,0.0,6.3,139864.28,312.37,124.95,-13213.45,3279.46,4.029,-1681.25,853.49,1.97,383.28,27963.6,0.014,125.6,2.168,413.13,8.319,1.196,1.871,3.18,1.617,3.658,5.629,0,0,0,0,1,1,0,0,1,0,0
0.13,0.24,6.0,1.35,1.0,0.09,98174.41,216.82,86.73,-4670.54,298.69,15.637,-1087.71,257.76,4.22,142.78,40213.6,0.004,5692.8,96.46,16669.31,329.522,0.156,0.228,0.288,0.242,0.526,1.114,0,0,0,0,1,0,0,0,0,0,0
0.6,0.27,4.0,1.0,1.0,2.89,117397.46,262.62,105.05,-5953.47,1890.7,3.149,-1100.31,692.03,1.59,235.81,23763.6,0.01,112.1,2.027,280.29,5.914,0.973,1.273,2.012,1.679,2.909,3.693,0,0,0,0,0,0,0,0,1,0,0
1.82,0.25,3.0,1.11,1.0,0.72,149703.88,333.47,133.39,-7963.22,6023.12,1.322,-1470.88,1006.42,1.461,585.19,28405.6,0.021,13.3,0.261,40.77,0.934,1.855,3.742,4.433,4.135,5.322,8.501,1,0,0,0,1,0,0,0,0,0,0
